名称	部件	掉落遗物	杜卡德金币
黑鸦Prime	枪托	中纪C3（常见）, 中纪K8（常见）, 古纪K10（常见）, 后纪G8（常见）, 古纪S12（常见）, 前纪G5（常见）	15
大久和弓Prime	蓝图	古纪Q2（常见）, 古纪E2（常见）, 中纪N24（常见）	15
大久和弓Prime	弓身	前纪D8（稀有）, 中纪D10（稀有）, 古纪D7（稀有）	45
大久和弓Prime	下弓臂	前纪A9（罕见）, 后纪C11（罕见）, 古纪A8（罕见）, 后纪C10（罕见）	100
大久和弓Prime	弓弦	古纪N19（常见）, 后纪V12（常见）, 后纪A20（常见）, 中纪A15（常见）	15
大久和弓Prime	上弓臂	中纪C7（罕见）, 前纪E7（罕见）, 前纪P16（罕见）	100
达克拉Prime	刀刃	后纪S4（罕见）, 中纪D1（稀有）, 中纪B3（罕见）, 后纪D4（稀有）	45
达克拉Prime	蓝图	前纪B3（罕见）, 后纪R1（罕见）, 中纪B8（罕见）, 古纪M1（罕见）	100
达克拉Prime	握柄	古纪M2（常见）, 古纪M8（常见）, 中纪N9（常见）, 前纪B1（常见）, 前纪M1（常见）	15
技巧之剑Prime	刀刃	前纪D3（稀有）, 古纪D5（稀有）, 中纪D4（稀有）, 后纪D1（稀有）, 后纪D2（稀有）, 前纪D2（稀有）	45
技巧之剑Prime	蓝图	中纪S9（罕见）, 前纪R2（罕见）, 古纪M4（罕见）, 后纪D3（罕见）, 古纪P7（罕见）, 中纪B5（罕见）, 后纪P2（罕见）, 后纪K4（罕见）	100
技巧之剑Prime	握柄	后纪R2（常见）, 后纪M4（常见）, 前纪E2（常见）, 前纪P6（常见）, 古纪L1（常见）, 后纪D2（常见）, 前纪E3（常见）, 后纪O4（常见）, 后纪O3（常见）	15
死亡魔方Prime	蓝图	中纪D3（稀有）, 古纪D4（稀有）, 古纪D3（稀有）, 中纪D6（稀有）, 古纪D1（稀有）	45
死亡魔方Prime	外壳	古纪T4（罕见）, 前纪R3（罕见）, 前纪L1（罕见）, 中纪B7（罕见）, 古纪V9（罕见）, 中纪T2（罕见）, 后纪N7（罕见）, 古纪M6（罕见）	100
死亡魔方Prime	头部	前纪D6（稀有）, 中纪D2（稀有）, 中纪A7（罕见）, 前纪D4（稀有）, 古纪D2（稀有）	45
死亡魔方Prime	系统	后纪I1（常见）, 古纪B8（常见）, 后纪P2（常见）, 中纪I2（常见）, 中纪G2（常见）, 中纪E2（常见）, 前纪T6（常见）, 古纪S10（常见）	15
双短柄战镰Prime	刀刃	前纪D1（稀有）, 后纪D3（稀有）, 前纪D5（稀有）	45
双短柄战镰Prime	蓝图	后纪V5（常见）, 古纪S6（常见）, 中纪V1（常见）, 古纪K4（常见）, 后纪V1（常见）, 后纪N3（常见）, 古纪L3（常见）, 中纪T1（常见）	15
双短柄战镰Prime	握柄	前纪F1（罕见）, 中纪D4（罕见）, 后纪A1（罕见）, 中纪N12（罕见）, 前纪N1（罕见）	100
凯瑞斯双刀Prime	刀刃	后纪G9（常见）, 古纪G9（常见）, 中纪N22（常见）, 古纪W3（常见）, 中纪K8（常见）, 后纪G8（常见）, 前纪M4（常见）	15
凯瑞斯双刀Prime	蓝图	古纪D6（稀有）, 中纪D8（稀有）, 中纪D5（稀有）, 中纪D7（稀有）, 前纪D7（稀有）, 后纪D5（稀有）	45
凯瑞斯双刀Prime	握柄	前纪V7（罕见）, 中纪W1（罕见）, 前纪H8（罕见）, 前纪P11（罕见）, 古纪T10（罕见）	100
佐伦双斧Prime	刀刃	后纪D6（稀有）, 中纪D9（稀有）	45
佐伦双斧Prime	蓝图	前纪X1（罕见）, 前纪A10（罕见）, 古纪C13（罕见）, 古纪S16（罕见）	100
佐伦双斧Prime	握柄	前纪D8（常见）, 古纪E2（常见）, 后纪S20（常见）, 中纪T10（常见）, 后纪P8（常见）	15
Ember Prime	蓝图	中纪E1（稀有）, 后纪E1（稀有）, 古纪E1（稀有）, 先锋E1（稀有）, 前纪E1（稀有）	45
Ember Prime	机体蓝图	前纪B10（常见）, 前纪F2（常见）, 先锋C1（常见）, 中纪F1（常见）	15
Ember Prime	头部神经光元蓝图	先锋M1（常见）, 前纪S14（罕见）, 中纪S5（常见）, 前纪F3（常见）	15
Ember Prime	系统蓝图	古纪G1（罕见）, 先锋P1（罕见）, 后纪S2（罕见）, 后纪R4（罕见）	100
葬铭Prime	枪管	古纪Q2（罕见）, 中纪V11（罕见）, 古纪W4（罕见）, 后纪Y2（罕见）, 后纪P8（罕见）, 中纪P9（罕见）	100
葬铭Prime	蓝图	后纪Y3（常见）, 后纪C11（常见）, 后纪A19（常见）, 后纪F3（常见）, 后纪O6（常见）, 前纪K7（常见）, 后纪C10（常见）, 古纪D7（常见）	15
葬铭Prime	枪机	古纪E2（稀有）, 前纪E7（稀有）, 中纪E4（稀有）, 前纪E6（稀有）	45
Equinox Prime	蓝图	后纪T4（罕见）, 古纪P4（罕见）, 古纪S13（罕见）, 后纪T3（罕见）, 前纪A2（罕见）, 后纪K5（罕见）	100
Equinox Prime	机体蓝图	前纪G2（常见）, 古纪M4（常见）, 后纪A8（常见）, 中纪Z9（常见）, 后纪P1（常见）, 古纪L2（常见）, 古纪D2（常见）, 古纪C6（常见）	15
Equinox Prime	头部神经光元蓝图	后纪T9（罕见）, 中纪D2（罕见）, 古纪L1（罕见）, 中纪A3（罕见）, 前纪M3（罕见）	100
Equinox Prime	系统蓝图	前纪E2（稀有）, 中纪E3（稀有）, 中纪E2（稀有）, 前纪E3（稀有）, 前纪E4（稀有）	45
悦音Prime	枪管	古纪M7（罕见）, 中纪M1（罕见）, 前纪V5（罕见）, 前纪N3（罕见）	100
悦音Prime	蓝图	后纪N5（常见）, 后纪H5（常见）, 中纪B6（常见）, 中纪H2（常见）, 后纪O1（常见）, 中纪N7（常见）, 中纪L1（常见）, 后纪B1（常见）, 中纪K1（常见）	15
悦音Prime	枪机	后纪E2（稀有）, 前纪E5（稀有）	45
狼牙Prime	刀刃	中纪S20（常见）, 中纪N23（常见）, 后纪B2（常见）, 中纪G3（常见）, 古纪C1（常见）, 后纪T9（常见）, 古纪S6（常见）, 古纪F1（常见）, 古纪D5（常见）, 古纪P1（常见）, 前纪A7（常见）, 古纪N1（常见）, 中纪S11（常见）, 后纪G14（常见）, 后纪O2（常见）, 中纪S12（常见）, 古纪H10（常见）, 古纪K10（常见）, 古纪V10（常见）, 前纪Z5（常见）, 中纪S7（常见）, 古纪N6（常见）, 前纪P17（常见）, 中纪K5（常见）, 中纪I1（常见）, 后纪W4（常见）, 后纪R3（常见）, 中纪G4（常见）, 后纪M3（常见）, 后纪L6（常见）, 后纪B1（常见）, 古纪T11（常见）, 前纪V11（常见）, 前纪V8（常见）, 前纪M2（常见）, 中纪F3（常见）, 古纪S11（常见）, 古纪S5（常见）, 古纪I1（常见）, 后纪P7（常见）, 古纪C6（常见）, 中纪N20（常见）, 后纪N1（常见）	15
狼牙Prime	蓝图	后纪V14（常见）, 后纪Y1（常见）, 前纪Z1（常见）, 前纪O4（常见）, 古纪G8（常见）, 古纪V2（常见）, 前纪B7（常见）, 古纪N16（常见）, 前纪R2（常见）, 后纪A11（常见）, 中纪B2（常见）, 前纪T1（常见）, 中纪A10（常见）, 古纪G9（常见）, 古纪N15（常见）, 后纪L5（常见）, 古纪G4（常见）, 中纪N2（常见）, 古纪N13（常见）, 中纪A9（常见）, 后纪Y2（常见）, 后纪G4（常见）, 中纪H2（常见）, 后纪P8（常见）, 古纪K1（常见）, 中纪T2（常见）, 中纪H4（常见）, 古纪O3（罕见）, 古纪N11（常见）, 前纪V9（常见）, 中纪P9（常见）, 中纪G5（罕见）, 前纪N1（常见）, 古纪H5（常见）, 前纪T6（常见）, 前纪S4（常见）, 前纪P8（常见）, 前纪K5（常见）, 古纪R5（常见）, 前纪C10（罕见）, 后纪K11（常见）, 古纪T9（常见）, 古纪B6（常见）	15
狼牙Prime	握柄	古纪G14（罕见）, 后纪A16（常见）, 前纪D3（常见）, 后纪V6（罕见）, 后纪I3（罕见）, 中纪E4（罕见）, 古纪Z1（常见）, 后纪O5（罕见）, 古纪F2（罕见）, 前纪V7（罕见）, 古纪G11（罕见）, 中纪S14（罕见）, 后纪N11（罕见）, 后纪L3（常见）, 后纪B8（罕见）, 后纪S11（常见）, 前纪H5（常见）, 前纪N16（罕见）, 后纪P4（常见）, 古纪A5（罕见）, 中纪R5（罕见）, 古纪W2（罕见）, 中纪V2（常见）, 古纪R3（罕见）, 前纪M4（罕见）, 中纪N3（罕见）, 中纪L4（罕见）, 中纪K6（常见）, 前纪N2（常见）, 古纪L5（罕见）, 前纪N1（常见）, 古纪F3（常见）, 前纪W2（罕见）, 前纪W1（罕见）, 前纪S4（罕见）, 古纪G7（罕见）, 古纪W1（罕见）, 中纪H3（常见）, 古纪D2（罕见）, 后纪H2（常见）, 古纪N17（罕见）, 后纪A4（罕见）	15
Forma	蓝图	中纪P10（常见）, 古纪C7（常见）, 古纪G14（常见）, 后纪V14（罕见）, 后纪T13（罕见）, 前纪A9（常见）, 古纪E2（罕见）, 中纪C7（常见）, 后纪S20（常见）, 后纪V10（罕见）, 中纪K9（罕见）, 中纪S20（罕见）, 中纪V9（常见）, 古纪N18（常见）, 前纪N11（罕见）, 后纪Y1（常见）, 前纪E7（常见）, 后纪S8（常见）, 前纪V15（罕见）, 前纪V13（常见）, 中纪T10（常见）, 古纪C14（常见）, 前纪A10（常见）, 古纪K12（罕见）, 后纪A5（常见）, 后纪A2（常见）, 中纪O1（常见）, 后纪V8（常见）, 后纪M5（常见）, 后纪V12（常见）, 前纪Z1（常见）, 前纪S10（常见）, 前纪R4（罕见）, 后纪H8（常见）, 古纪P9（常见）, 后纪R2（常见）, 前纪G2（常见）, 古纪G1（罕见）, 前纪G8（罕见）, 前纪O4（常见）, 古纪B9（常见）, 前纪D1（常见）, 前纪D1（罕见）, 前纪B8（常见）, 后纪V5（常见）, 前纪M5（常见）, 古纪K3（常见）, 古纪O1（罕见）, 后纪K1（罕见）, 古纪R1（常见）, 古纪G13（常见）, 中纪I3（常见）, 后纪L4（常见）, 古纪G8（常见）, 前纪N4（罕见）, 古纪H8（罕见）, 古纪V2（罕见）, 后纪S17（罕见）, 前纪P4（常见）, 中纪V3（罕见）, 后纪G11（常见）, 后纪B2（罕见）, 前纪S7（常见）, 古纪K2（罕见）, 前纪B7（常见）, 后纪T8（常见）, 中纪G3（常见）, 后纪V6（常见）, 古纪C1（罕见）, 后纪N13（罕见）, 前纪T4（常见）, 古纪G6（常见）, 后纪A17（常见）, 中纪S9（罕见）, 古纪B7（常见）, 后纪I3（常见）, 中纪B9（常见）, 后纪A7（罕见）, 前纪P2（常见）, 中纪C6（罕见）, 中纪P6（常见）, 古纪T6（常见）, 中纪E4（常见）, 前纪S5（罕见）, 前纪V12（常见）, 古纪Z4（常见）, 后纪T12（常见）, 中纪E1（罕见）, 中纪V5（罕见）, 前纪R6（常见）, 后纪G9（常见）, 前纪S8（常见）, 古纪A4（常见）, 前纪B10（常见）, 后纪H4（罕见）, 前纪R2（常见）, 后纪M4（常见）, 古纪Z1（罕见）, 古纪A6（罕见）, 后纪H1（常见）, 中纪D3（罕见）, 前纪O3（常见）, 古纪S2（罕见）, 中纪B2（罕见）, 古纪S6（常见）, 前纪N8（常见）, 后纪K6（常见）, 古纪C13（常见）, 后纪N12（常见）, 前纪T1（罕见）, 古纪K9（常见）, 后纪V11（常见）, 古纪F1（常见）, 后纪I1（罕见）, 中纪A10（常见）, 古纪T13（常见）, 前纪G1（常见）, 中纪S16（常见）, 前纪B6（罕见）, 古纪C10（常见）, 古纪G9（常见）, 古纪S14（常见）, 古纪N15（常见）, 古纪D5（常见）, 前纪F4（常见）, 古纪P1（罕见）, 古纪B2（常见）, 古纪H4（常见）, 后纪L2（罕见）, 中纪V1（常见）, 中纪G8（常见）, 后纪G10（常见）, 后纪H7（罕见）, 后纪C1（罕见）, 古纪G5（罕见）, 前纪C4（罕见）, 前纪V7（常见）, 前纪P10（常见）, 后纪S6（常见）, 中纪A4（常见）, 古纪D6（常见）, 后纪G12（罕见）, 前纪G10（常见）, 中纪L3（常见）, 古纪P4（罕见）, 前纪P6（常见）, 古纪S1（罕见）, 前纪S12（罕见）, 后纪T10（罕见）, 前纪C5（罕见）, 后纪P5（常见）, 中纪Z5（罕见）, 后纪H5（罕见）, 古纪S4（常见）, 中纪D4（常见）, 古纪K4（常见）, 古纪G11（常见）, 中纪D2（常见）, 中纪T7（罕见）, 古纪S13（常见）, 古纪M3（常见）, 前纪L3（常见）, 前纪P7（常见）, 前纪L2（常见）, 中纪C3（常见）, 后纪E1（罕见）, 古纪T5（常见）, 后纪S19（常见）, 后纪F3（常见）, 古纪G4（常见）, 古纪T7（常见）, 前纪N6（常见）, 中纪N15（常见）, 中纪S14（常见）, 古纪W3（常见）, 前纪V10（常见）, 后纪I2（常见）, 前纪W4（罕见）, 中纪N2（罕见）, 古纪N1（罕见）, 后纪B7（常见）, 后纪N11（常见）, 中纪S11（罕见）, 古纪A10（常见）, 古纪X1（常见）, 后纪B9（常见）, 后纪S2（罕见）, 中纪N19（常见）, 后纪A15（常见）, 后纪A8（罕见）, 后纪F1（常见）, 后纪V9（常见）, 后纪K12（常见）, 后纪G14（罕见）, 中纪N21（常见）, 古纪L4（常见）, 古纪G3（罕见）, 中纪S8（常见）, 古纪L1（常见）, 古纪B3（常见）, 后纪L1（罕见）, 中纪W1（罕见）, 后纪S1（常见）, 古纪M7（罕见）, 古纪T12（罕见）, 中纪K8（常见）, 后纪D1（罕见）, 古纪V9（常见）, 中纪S6（常见）, 后纪V1（罕见）, 后纪E2（罕见）, 后纪G3（常见）, 古纪B1（常见）, 古纪B4（常见）, 中纪A1（常见）, 后纪G6（常见）, 古纪M2（罕见）, 前纪B3（常见）, 中纪N5（常见）, 古纪M8（常见）, 古纪P2（常见）, 后纪S4（常见）, 中纪V7（常见）, 后纪O6（常见）, 前纪H7（罕见）, 后纪K2（常见）, 中纪N11（罕见）, 中纪N14（常见）, 后纪A18（常见）, 前纪W3（常见）, 古纪A9（常见）, 后纪N3（常见）, 中纪C5（常见）, 中纪A9（常见）, 前纪F2（罕见）, 中纪S15（常见）, 古纪E1（常见）, 后纪B8（常见）, 古纪P7（常见）, 古纪W4（常见）, 后纪H6（罕见）, 古纪Z2（常见）, 前纪H5（常见）, 中纪P8（常见）, 古纪H10（常见）, 中纪K4（常见）, 后纪A10（常见）, 中纪B6（常见）, 中纪N13（罕见）, 古纪K7（罕见）, 中纪L2（常见）, 中纪Z10（常见）, 中纪B5（常见）, 中纪Z8（罕见）, 中纪Z7（常见）, 中纪Z4（罕见）, 中纪Z3（常见）, 中纪Z1（罕见）, 中纪X1（常见）, 后纪P8（罕见）, 中纪W2（罕见）, 古纪V10（常见）, 中纪V10（常见）, 中纪V8（罕见）, 中纪V6（常见）, 中纪N17（罕见）, 中纪T9（常见）, 前纪Z4（常见）, 中纪S17（常见）, 中纪T8（常见）, 前纪N16（常见）, 中纪T6（常见）, 古纪D4（常见）, 后纪G5（罕见）, 后纪G1（罕见）, 中纪T3（常见）, 中纪T2（罕见）, 前纪Z5（常见）, 后纪N2（罕见）, 中纪T4（常见）, 中纪S18（常见）, 古纪P8（罕见）, 中纪H4（常见）, 古纪N14（罕见）, 中纪S3（罕见）, 古纪C4（常见）, 古纪A5（常见）, 古纪O3（常见）, 中纪R5（常见）, 中纪N1（常见）, 古纪W2（常见）, 中纪R2（常见）, 前纪V9（常见）, 后纪P9（罕见）, 前纪R5（常见）, 前纪V2（罕见）, 中纪P7（常见）, 中纪P5（常见）, 后纪B5（常见）, 中纪M4（罕见）, 中纪P4（罕见）, 古纪K8（常见）, 前纪I2（常见）, 中纪P2（罕见）, 中纪O3（常见）, 后纪O1（常见）, 古纪H9（罕见）, 中纪N18（罕见）, 前纪A3（罕见）, 中纪V2（罕见）, 古纪R3（常见）, 前纪O5（常见）, 中纪D8（罕见）, 后纪G8（罕见）, 中纪N10（常见）, 中纪N9（罕见）, 中纪A13（常见）, 后纪T7（常见）, 后纪N7（罕见）, 前纪V6（常见）, 古纪S9（常见）, 前纪M4（罕见）, 前纪T5（常见）, 中纪M3（罕见）, 中纪M2（常见）, 中纪L4（常见）, 中纪F1（罕见）, 中纪K7（常见）, 前纪N2（罕见）, 中纪K5（常见）, 中纪K3（常见）, 前纪W5（常见）, 后纪V4（罕见）, 后纪T3（罕见）, 后纪T6（常见）, 后纪S9（常见）, 后纪R4（常见）, 中纪I2（常见）, 古纪K5（常见）, 古纪S17（常见）, 后纪W4（常见）, 中纪S13（罕见）, 古纪H2（常见）, 中纪G6（常见）, 中纪G5（常见）, 中纪D7（常见）, 后纪C8（常见）, 中纪G2（常见）, 后纪M3（常见）, 前纪B1（常见）, 后纪C2（常见）, 古纪N10（常见）, 中纪G1（常见）, 古纪B10（常见）, 前纪H3（罕见）, 中纪F2（常见）, 中纪E3（常见）, 前纪N15（常见）, 中纪D9（常见）, 中纪D6（常见）, 古纪M6（常见）, 中纪D1（罕见）, 古纪L5（常见）, 前纪N1（罕见）, 古纪F3（常见）, 前纪S14（常见）, 中纪B8（常见）, 后纪S14（罕见）, 中纪Z9（常见）, 中纪B4（常见）, 中纪B3（常见）, 中纪A15（常见）, 前纪E6（常见）, 前纪H8（常见）, 中纪A7（常见）, 古纪H7（罕见）, 中纪N8（罕见）, 古纪N4（常见）, 古纪A2（常见）, 古纪L6（常见）, 前纪N7（罕见）, 前纪A2（常见）, 中纪N16（常见）, 前纪S2（罕见）, 古纪H5（常见）, 后纪D2（罕见）, 后纪G13（常见）, 中纪A2（罕见）, 前纪Z3（常见）, 前纪Y1（常见）, 古纪V6（罕见）, 前纪A1（罕见）, 古纪P3（常见）, 古纪T11（常见）, 前纪V14（罕见）, 中纪R1（常见）, 前纪V8（常见）, 前纪V4（常见）, 古纪H3（罕见）, 前纪V3（常见）, 前纪V1（罕见）, 前纪D4（常见）, 中纪S19（常见）, 前纪T6（常见）, 中纪M5（罕见）, 前纪T3（常见）, 前纪T2（常见）, 后纪W2（常见）, 中纪C2（常见）, 前纪S13（常见）, 古纪N9（常见）, 前纪S9（罕见）, 后纪N9（常见）, 前纪S3（罕见）, 前纪C7（常见）, 前纪P15（罕见）, 后纪P1（常见）, 后纪T5（罕见）, 前纪G4（罕见）, 前纪P12（常见）, 前纪P11（常见）, 前纪P5（罕见）, 古纪C8（罕见）, 前纪O1（常见）, 后纪C6（常见）, 前纪N17（常见）, 中纪D10（常见）, 前纪E3（常见）, 前纪N9（常见）, 后纪C9（常见）, 前纪N5（常见）, 中纪N4（罕见）, 中纪A14（罕见）, 前纪K7（罕见）, 古纪S15（常见）, 前纪K6（常见）, 古纪S16（常见）, 前纪K5（常见）, 前纪K4（罕见）, 前纪K3（罕见）, 古纪G12（罕见）, 后纪C10（罕见）, 前纪G3（常见）, 前纪H6（罕见）, 古纪S12（常见）, 前纪H2（常见）, 前纪G9（罕见）, 前纪G6（常见）, 古纪C5（常见）, 后纪T2（罕见）, 后纪S10（常见）, 古纪R5（常见）, 后纪Z1（常见）, 前纪E5（常见）, 前纪E4（常见）, 古纪G7（常见）, 古纪S8（常见）, 前纪A6（常见）, 前纪E1（罕见）, 后纪C3（常见）, 前纪D7（常见）, 前纪D5（常见）, 后纪S7（常见）, 前纪D2（常见）, 前纪C10（常见）, 前纪C9（常见）, 古纪K11（常见）, 前纪P16（常见）, 后纪A12（常见）, 后纪K8（常见）, 前纪C6（罕见）, 后纪B3（常见）, 后纪N8（常见）, 后纪K11（常见）, 古纪M1（常见）, 前纪A8（常见）, 中纪A6（常见）, 古纪W1（常见）, 古纪V8（常见）, 古纪T10（常见）, 古纪V1（罕见）, 古纪T9（常见）, 古纪T3（罕见）, 古纪T2（常见）, 古纪O2（罕见）, 古纪S11（常见）, 前纪F3（罕见）, 中纪A5（常见）, 中纪T1（常见）, 后纪W3（常见）, 中纪S1（罕见）, 古纪N5（常见）, 中纪A11（常见）, 后纪K10（常见）, 古纪N3（罕见）, 前纪S15（常见）, 古纪T1（常见）, 古纪I1（常见）, 中纪H3（常见）, 后纪P7（罕见）, 古纪A1（常见）, 古纪G10（常见）, 古纪D2（常见）, 中纪Z11（常见）, 前纪P3（罕见）, 古纪C6（常见）, 后纪B6（常见）, 后纪A13（常见）, 后纪H3（罕见）, 后纪K5（常见）, 后纪O3（常见）, 后纪W1（罕见）, 后纪P3（常见）, 后纪P6（罕见）, 后纪T11（常见）, 后纪S5（罕见）, 后纪S18（常见）, 后纪S15（常见）, 后纪S13（常见）, 后纪K4（常见）, 古纪M9（罕见）, 后纪A4（常见）, 后纪V13（常见）, 后纪N1（常见）, 后纪K7（常见）, 前纪C1（常见）, 后纪D4（常见）	15
重击巨锤Prime	蓝图	前纪H1（罕见）, 后纪A7（罕见）, 前纪F1（稀有）, 古纪F1（稀有）, 后纪F1（稀有）, 中纪S8（罕见）	45
重击巨锤Prime	握柄	后纪N4（罕见）, 中纪V6（罕见）, 后纪C2（罕见）, 中纪D6（罕见）, 古纪V8（罕见）, 古纪V1（稀有）, 中纪T1（罕见）	45
重击巨锤Prime	锤头	后纪B2（常见）, 中纪H1（常见）, 后纪H1（常见）, 后纪A1（常见）, 古纪V7（常见）, 前纪V8（常见）	15
Frost Prime	蓝图	前纪F4（稀有）, 前纪F2（稀有）, 中纪F1（稀有）, 前纪F3（稀有）	45
Frost Prime	机体蓝图	古纪G1（常见）, 中纪B8（常见）, 前纪E1（常见）	15
Frost Prime	头部神经光元蓝图	中纪E1（常见）, 后纪E1（常见）, 后纪D4（常见）	15
Frost Prime	系统蓝图	古纪M8（罕见）, 中纪S5（罕见）, 古纪G2（罕见）	100
雷霆Prime	枪管	中纪G8（常见）, 中纪G7（常见）, 前纪V9（常见）, 中纪K7（常见）, 后纪W4（常见）, 前纪P13（常见）, 古纪G10（常见）, 后纪Z2（常见）	15
雷霆Prime	蓝图	后纪H8（罕见）, 古纪A7（罕见）, 中纪O2（罕见）, 前纪H7（罕见）, 中纪H4（罕见）, 古纪H9（罕见）, 前纪A5（罕见）	100
雷霆Prime	枪机	后纪F3（稀有）, 后纪F2（稀有）, 中纪F2（稀有）, 古纪F3（稀有）, 前纪F5（稀有）, 中纪F3（稀有）	45
雷霆Prime	枪托	古纪G8（罕见）, 古纪C11（罕见）, 古纪Q1（罕见）, 后纪H7（罕见）, 后纪S19（罕见）, 前纪V10（罕见）, 古纪C12（罕见）	100
迦伦提恩Prime	刀刃	中纪V3（常见）, 后纪N4（常见）, 古纪S7（常见）, 前纪C2（常见）, 后纪O2（常见）, 前纪S6（常见）, 中纪V2（常见）, 中纪N6（常见）, 前纪S2（常见）, 前纪S4（常见）, 古纪T3（常见）, 后纪T11（常见）	15
迦伦提恩Prime	蓝图	中纪G3（稀有）, 前纪G1（稀有）, 后纪G1（稀有）, 中纪G5（稀有）	45
迦伦提恩Prime	握柄	前纪O4（罕见）, 后纪V6（罕见）, 后纪K2（罕见）, 古纪H10（罕见）, 中纪Z1（罕见）, 后纪O1（罕见）, 中纪V2（罕见）, 古纪S5（罕见）	100
Gara Prime	蓝图	后纪G9（稀有）, 古纪G11（稀有）, 后纪G6（稀有）, 中纪G4（稀有）, 前纪G3（稀有）	45
Gara Prime	机体蓝图	前纪A4（罕见）, 后纪I2（罕见）, 中纪P5（罕见）, 后纪G8（罕见）, 后纪S9（罕见）, 古纪K6（罕见）, 后纪K7（罕见）	100
Gara Prime	头部神经光元蓝图	中纪N18（罕见）, 前纪O5（罕见）, 后纪S14（罕见）, 前纪P5（罕见）, 古纪S12（罕见）, 前纪C10（罕见）	100
Gara Prime	系统蓝图	古纪P6（常见）, 古纪T8（常见）, 古纪T7（常见）, 中纪N21（常见）, 后纪C8（常见）, 后纪G7（常见）, 前纪K5（常见）, 中纪A5（常见）	15
Garuda Prime	蓝图	古纪C10（常见）, 前纪S12（常见）, 中纪C5（常见）, 后纪H6（常见）, 古纪H9（常见）, 前纪P8（常见）, 前纪K4（常见）, 前纪P14（常见）, 中纪A8（常见）, 中纪N20（常见）	15
Garuda Prime	机体蓝图	后纪G9（罕见）, 古纪R4（罕见）, 中纪N22（罕见）, 前纪P7（罕见）, 后纪N11（罕见）, 中纪S15（罕见）, 前纪P13（罕见）, 前纪N13（罕见）, 后纪B6（罕见）	100
Garuda Prime	头部神经光元蓝图	古纪G6（稀有）, 古纪G5（稀有）, 后纪G12（稀有）, 后纪G13（稀有）	45
Garuda Prime	系统蓝图	后纪G10（稀有）, 中纪K8（罕见）, 后纪G8（稀有）, 后纪G7（稀有）	45
Gauss Prime	蓝图	古纪N16（罕见）, 后纪B7（罕见）, 中纪T9（罕见）, 中纪A15（常见）, 中纪M5（罕见）, 中纪D10（罕见）, 中纪G9（常见）, 后纪Z2（常见）	100
Gauss Prime	机体蓝图	古纪C13（常见）, 中纪W1（常见）, 中纪O2（常见）, 中纪P7（常见）, 前纪P15（常见）, 中纪A14（常见）, 古纪M9（常见）	15
Gauss Prime	头部神经光元蓝图	后纪V12（罕见）, 中纪E4（罕见）, 前纪H5（罕见）, 前纪T7（罕见）, 后纪P9（罕见）, 后纪V13（罕见）	100
Gauss Prime	系统蓝图	前纪G7（稀有）, 古纪G9（稀有）, 中纪G8（稀有）, 古纪G12（稀有）, 前纪G9（稀有）, 中纪G9（稀有）	45
战刃Prime	刀刃	前纪B10（罕见）, 后纪E1（罕见）, 后纪L1（罕见）	100
战刃Prime	蓝图	古纪G1（稀有）, 中纪G6（稀有）, 古纪G2（稀有）	45
战刃Prime	圆盘	后纪R4（罕见）, 中纪S5（罕见）, 前纪F3（罕见）	100
格拉姆Prime	刀刃	前纪R4（常见）, 后纪A9（常见）, 前纪S8（常见）, 古纪N4（常见）, 前纪M3（常见）, 古纪S8（常见）, 古纪W1（常见）	15
格拉姆Prime	蓝图	后纪A8（罕见）, 古纪P2（罕见）, 中纪Z8（罕见）, 前纪N7（罕见）, 后纪T5（罕见）, 后纪O4（罕见）	100
格拉姆Prime	握柄	后纪G3（稀有）, 后纪G4（稀有）, 后纪G5（稀有）, 中纪G2（稀有）, 中纪G1（稀有）, 后纪G2（稀有）	45
Grendel Prime	蓝图	前纪G8（稀有）, 古纪G8（稀有）, 中纪G7（稀有）, 前纪G6（稀有）	45
Grendel Prime	机体蓝图	古纪M10（罕见）, 古纪G13（罕见）, 中纪S18（罕见）, 古纪C12（罕见）	100
Grendel Prime	头部神经光元蓝图	前纪B8（常见）, 后纪S17（常见）, 中纪Q1（常见）, 中纪M5（常见）, 前纪A5（常见）, 后纪M6（常见）	15
Grendel Prime	系统蓝图	后纪G11（稀有）, 后纪G14（稀有）	45
关刀Prime	刀刃	古纪K7（常见）, 中纪Z6（常见）, 中纪V10（常见）, 古纪O3（常见）, 中纪P2（常见）, 后纪S9（常见）, 前纪H2（常见）, 后纪S10（常见）	15
关刀Prime	蓝图	古纪P5（罕见）, 古纪K9（罕见）, 前纪P7（罕见）, 前纪Z5（罕见）, 中纪T4（罕见）, 前纪I2（罕见）, 前纪B5（罕见）	100
关刀Prime	握柄	前纪G2（稀有）, 古纪G4（稀有）, 古纪G3（稀有）, 前纪G4（稀有）, 古纪G7（稀有）	45
军扇Prime	刀刃	古纪G13（稀有）, 前纪G10（稀有）, 古纪G10（稀有）, 前纪G5（稀有）	45
军扇Prime	蓝图	中纪P6（常见）, 古纪N16（常见）, 古纪C11（常见）, 中纪C4（常见）, 中纪Z10（常见）, 后纪P9（常见）, 古纪L6（常见）, 前纪F5（常见）	15
军扇Prime	握柄	中纪B9（罕见）, 后纪T12（罕见）, 中纪T7（罕见）, 后纪S19（罕见）, 前纪W4（罕见）, 中纪K7（罕见）, 前纪P15（罕见）	100
Gyre Prime	蓝图	中纪T10（罕见）	100
